3815feature_eye_024_downturnedIcon~41835274075005D290E00&Feature_Eyebrow_001_RoundedIcon (1)~41706845825005D290E01&Feature_Mouth_017_juicyicon~3500133332500AC452903&feature_nose_020_honkicon~3500400295500AC452902|Hair_Base_003_ShortBlondeBangs~35005695005005425100|Ear_Base_002_outwardsear~4001500121500F2A1730|#F2A173|1%0.57%0.85%0.92%0.21%0.54|Harry%0%0%2%05111995%11
7188Feature_Eye_052_ZootedIcon~4150500500500FFFFFF00|Hair_Base_000_Bald~35005695005005425100&Hair_Extra_001_PurplePoof~30000000327003905834065005425100|ear_base_005_regularear~40015005005008FACBF0|#8FACBF|0.5%0.5%0.5%0.5%0.5%0.5|7188%0%0%0%01012025%0
8259Feature_Eye_003_AnimeEyeIcon~41215275315002A559C00&Feature_Eyebrow_002_SemiColonIcon (1)~41956845005004B180901&Feature_Nose_009_LongTriangleIcon~35003595005004B180902&Feature_Mouth_018_niceicon~35001293325008E473903|Hair_Extra_012_HeartAhoge~30000002540125026284018145425100&Hair_Base_012_TheSabrina~350056950050054250E0|ear_base_005_regularear~40015007365000000000|#ECBA87|0.56%0.6%0.5%0.5%0.5%0.5|8259%0%0%0%01012025%7
5574Feature_Eye_052_ZootedIcon~41505897615005D290E00&feature_mouth_048_lickicon~3605153500500CA000003&Feature_Nose_006_CircleIcon~3500302638500CA000002&Feature_Shape_018_RadialGradient~4113433343500BA581404&Feature_Shape_001_Circle~3500285097500BA581404&Feature_Eyebrow_045_LoafIcon~40017365005485D290E01|Hair_Base_021_ShortHairSpikyBangs~35005695005005425100|ear_base_005_regularear~4001500500500D389490|#D38949|0%0.17%0.5%0.5%0.5%0.5|Silly Bob%0%0%1%01012025%9
2979Feature_Eye_012_prettylashesIcon~41685344315001B62D800&feature_extra_034_curlystacheIcon~35002147405005D290E04&Feature_Mouth_002_BigToothIcon~35002505005005D290E03&feature_nose_019_flaticon~35003402265005D290E02&Feature_Eyebrow_001_RoundedIcon (1)~41387285005005D290E01|Hair_Base_000_Bald~35005695005005425100&Hair_Extra_002_SpaceBuns~30000000531813455154385005425100|ear_base_005_regularear~40015002265008FACBF0|#8FACBF|1%0.23%0.57%0.68%0.37%0.31|Senor Williams%0%0%6%01012025%0
2718Feature_Eye_052_ZootedIcon~4150361500500FCD51C00&Feature_Shape_007_Square~3500500500500FCD51C10|Hair_Base_000_Bald~35005695005005425100|ear_base_005_regularear~40015005005000000000|#8FACBF|0.5%0.5%0.5%0.5%0.5%0.5|2718%0%0%0%01012025%0
4894Feature_Eye_013_prettynolashesIcon~4116527500500FCD51C00&Feature_Eye_053_RoundGlassesIcon~3500500750500FCD51C10|Hair_Base_000_Bald~35005695005005425100|ear_base_005_regularear~40015005005000000000|#8FACBF|0.5%0.5%0.5%0.5%0.5%0.5|4894%0%0%0%01012025%0
4136feature_eye_045_patootieIcon~4128506480500A7FA3D00|Hair_Base_004_SpaceBunBraids~350056950050007CF0D0|ear_base_005_regularear~40015005005000000000|#8FACBF|0.5%0.5%0.5%0.5%0.5%0.5|Sally Green%1%0%0%01012025%3
6444Feature_Eye_016_sleepyroundIcon~4138506500500F5962500|Hair_Base_003_ShortBlondeBangs~3500569500500FF00000|ear_base_005_regularear~4001500500500ECBA870|#ECBA87|0.5%0.5%0.5%0.5%0.5%0.5|Matthew%0%0%0%01012025%0
5932feature_eye_026_hazIcon~41383795005001B62D800&Feature_Shape_018_RadialGradient~41470019135001B62D810&Feature_Shape_018_RadialGradient~45009999995001BC6D810|Hair_Base_000_Bald~35005695005005425100|ear_base_005_regularear~40015005005000000000|#8FACBF|0%0.51%0.5%0.5%0.5%0.5|Barry Bleu%2%0%4%01012025%5
2187Feature_Eye_007_ScaryIcon~413836950050000000000&Feature_Shape_001_Circle~412836916450000000010|Hair_Base_052_ShortHairSidewept~35005695005000000000|ear_base_005_regularear~4001500500500A52B160|#A52B16|0.5%0.5%0.5%0.5%0.5%0.5|Ruben%0%0%0%01012025%11
